МФК;Факультет;Формат;Курс читают;Описание
Технология создания документальных фильмов;Факультет журналистики;Online-курс;Борисов С. И. ;"Интерес к документальному кино (телевизионному в том числе) в современном российском обществе велик и, как показывает статистика, не уменьшается. Ежегодно по заказу многих кино- и телекомпаний производятся и выходят на экраны несколько сотен документальных фильмов. Если же посчитать документальные фильмы, созданные для распространения в глобальной сети Интернет и на корпоративных, внутренних площадках (учебные, научные, образовательные фильмы и пр.), то количественный показатель, вероятно, превысит тысячу фильмов в год. Это колоссальное производство самых разных смыслов, одинаково основанных на экранном документальном материале. И, конечно, документальное кино обладает особой силой эмоционального и интеллектуального воздействия на зрителя; удовлетворяет насущные информационные, социальные,...                        "
Основы общей психологии;Факультет психологии;Online-курс;Иванников В. А. (профессор) ;Предназначение МФК – дать будущему бакалавру/специалисту/магистру основы психологии.  Своей главной задачей авторы считают изложение проблем психологии и анализ попыток их решения в истории психологии с изложением логики поиска верного решения. Психология представлена как незавершённая наука, в которой есть место для собственных размышлений и предложений начинающего изучать психологию.   Основное внимание уделяется не изложению фактов и теорий, а логике поиска адекватных решений различных проблем психологии. Поэтому большое место уделяется анализу основных понятий психологии, их способу введения в науку, и изменениям их содержания в истории. Автор, надеется, что это поможет формированию у студентов профессионального мышления психолога.  В курсе анализируется проблема необходимости зарожден...                        
Клиническая психология обыденной жизни;Факультет психологии;Online-курс;Тхостов А. Ш. (зав.кафедрой) ;"В курсе будет представлен клинико-психологический подход к различным феноменам обыденной жизни человека: социальным отношениям, проблемам идентичности, межличностным отношениям, самооценке.  С точки зрения клинической психологии, будут рассматриваться различные произведения искусства, кинематографа, литературы и театра.  Анализируются современные варианты «культурной патологии» - патологических феноменов, формирующихся в специфических культурно-детерминированных условиях – воспитание, отношений, технического развития; новые виды зависимостей (интернет-зависимость и т.д….) ...                        "
Россия и арабский мир в ХХ - начале XXI веков: история, культура, геополитика;Институт стран Азии и Африки;Online-курс;Орлов В. В. (доцент) ;Межфакультетский лекционный курс призван познакомить студентов с основными формами и этапами развития взаимосвязей России и СССР с арабским историко-культурным ареалом, охватывающим территории Передней Азии и Северной Африки. Страны Ближнего Востока и Магриба в XX и начале XXI в. привлекали внимание российских и советских исследователей, путешественников, деятелей культуры, политиков, военачальников, эмигрантов. Их труды, впечатления, донесения и заметки составляют ценный и далеко еще не исследованный пласт источниковых материалов, а многие страницы истории русско-арабских культурных, политических и дипломатических связей по-прежнему малоизвестны.  Главная цель курса двояка. С одной стороны, она состоит в том, чтобы показать специфику восприятия россиянами и советскими людьми общественных ...                        
Государство и бизнес как институты глобального общества;Социологический факультет;Online-курс;Барков С. А. ;....                        
Социология межкультурных различий;Социологический факультет;Online-курс;Кочетков В. В. ;....                        
Социология выборов;Социологический факультет;Online-курс;Федоркин Н. С. ;....                        
Российско-американские отношения: социально-исторические и социально-политические аспекты;Социологический факультет;Online-курс;Доброхотов Л. Н. (профессор) ;....                        
Социология неравенства;Социологический факультет;Online-курс;Викторов А. Ш. (профессор) ;....                        
Социология литературы;Социологический факультет;Online-курс;Антонов А. И. (зав.кафедрой) ;....                        
Миграция населения в условиях глобализации: от мультикультурализма к транснациональному обществу;Социологический факультет;Online-курс;Синельников А. Б. (доцент) ;....                        
Теория и практика лоббизма в современном мире;Социологический факультет;Online-курс;Каневский П. С. ;....                        
Социология и социальная философия К.Маркса и Ф.Энгельса;Социологический факультет;Online-курс;Рахманов А. Б. (доцент) ;....                        
Традиционная музыка в культуре народов мира;Факультет иностранных языков и регионоведения;Online-курс;Овчинникова Ю. С. ;  Программа курса «Традиционная музыка в культуре народов мира» подготовлена специально для проекта МФК МГУ. Оригинальность курса связана с культурологическим подходом к изучению традиционной музыки разных народов, которая рассматривается во взаимосвязи с мифологией, фольклором, традиционной аксиологией, исторической памятью, национальным характером, образом жизни, обрядами и праздниками, этнопедагогикой, этнопсихологией, музыкотерапией, спецификой процессов этнокультурной идентификации народов через музыку в современном мире.  Автор курса – Овчинникова Юлия Сергеевна – кандидат культурологии, доцент кафедры сравнительного изучения национальных литератур и культур факультета иностранных языков и регионоведения МГУ имени М.В. Ломоносова, является одним из редких в России специалистов в обла...                        
Лабораторные животные в экспериментальных исследованиях: этика, правила и технологии использования;Факультет биоинженерии и биоинформатики;Online-курс;Ловать М. Л. (старший преподаватель)Попов В. С. (заведующий лабораторией)Кушнир Е. А. (НИИ митоинженериии МГУ, руководитель отдела обеспечения качества)Белопольская М. В. (НИИ митоинженерии МГУ, в.н.с.)Шкомова А. С. (НИИ митоинженерии МГУ, ветеринарный врач)Манских В. Н.Аверина О. А. ;Курс предназначен для студентов, планирующих работать с лабораторными животными. В нем рассмотрены современные нормы, технологии и требования в области обращения с лабораторными животными.  Необходимость проведения такого курса назрела давно: как ни парадоксально, в нашей стране, проводящей большое количество физиологических и фармакологических работ мирового уровня, не готовят специалистов по работе лабораторными животными. Технологии содержания лабораторных животных требуют  опоры на современные знания об их биологии, требования к инженерным решениям и на законодательство.   В большинстве стран, ведущих научную деятельность, правила работы с лабораторными животными закреплены законодательно, а для допуска к работе с животными необходимо пройти специализированное обучение. Нарушение или н...                        
Совершенствование природы человека: жизнь без старости;Факультет биоинженерии и биоинформатики;Online-курс;Северин Ф. Ф. (д.б.н., зав. лаб. НИИ ФХБ им. А.Н.Белозерского МГУ)Скулачев М. В. (кандидат наук, с.н.с.)Кокшарова О. А. (д.б.н., в.н.с. НИИ ФХБ им. А.Н.Белозерского МГУ)Фенюк Б. А. (кандидат наук, доцент)Зоров Д. Б. (д.б.н., профессор, зав. лаб. НИИ ФХБ им. А.Н.Белозерского МГУ)Попова Е. Н. (с.н.с. НИИ ФХБ им. А.Н.Белозерского МГУ)Плотников Е. Ю. (д.б.н., в.н.с. НИИ ФХБ им. А.Н.Белозерского МГУ) ;Феномен старения, то есть постепенное снижение с возрастом жизненных функций и увеличение вероятности смерти, становится все более и более актуальным предметом исследований. Прояснение механизма старения, от общих эволюционных принципов до клеточной биологии и молекулярных деталей является одной из главных задач современной биологии и медицины. Решив эту задачу, человек получит возможность вмешаться в процесс старения, замедлить его или даже полностью остановить.   Последние достижения в геронтологии – науке о старении – говорят о том, что жизнь без старости не только возможна теоретически, но и вполне реальна – так живут представители определенных видов живых существ, населяющих землю, включая некоторых млекопитающих. Более того, в экспериментах на животных (включая млекопитающих) исследо...                        
Общественный контроль и гражданские инициативы;Высшая школа государственного администрирования (факультет);Online-курс;Назаренко С. В. ;Краткое содержание дисциплины (темы межфакультетского учебного курса):  Тема 1. Принципы, цели и задачи общественного контроля за деятельностью органов государственной власти и органов местного самоуправления.  Тема 2. Организация взаимодействия, права и обязанности органов государственной власти и органов местного самоуправления в сотрудничестве с агентами (субъектами) общественного контроля.  Тема 3. Агенты (субъекты) общественного контроля, их права и обязанности при сотрудничестве с органами государственной власти и органами местного самоуправления.  Тема 4. Общественная палата как институты гражданского общества и демократического государства.  Тема 5. Общественный совет как партнер органов государственного и муниципального управления.  Тема 6. Общественные наблюдательные комиссии, об...                        
Современные методы управления проектами;Высшая школа государственного администрирования (факультет);Online-курс;;Курс (на английском языке) предназначен для иностранных обучающихся....                        
Информационное общество, цифровая экономика и информационная безопасность;Высшая школа государственного аудита (факультет);Online-курс;Морозов А. В.Зуева А. С. ;  Понятие «цифровая экономика» глубоко вошло в обиход каждого современного человека. Данный курс направлен на раскрытие юридической природы цифровой экономики, определение ее места в информационном обществе и роли в обеспечении информационной безопасности государства.  Что же такое цифровая экономика с точки зрения российского законодателя? По каким критериям государство определяет уровень цифровизации экономики? Какие пути развития цифровой экономики, по мнению органов государственной власти России, являются приоритетными на ближайшие годы? Ответы на данные вопросы будут даны в рамках межфакультетского курса «Цифровая экономика: правовое регулирование».  Курс начинается с изучения теоретических основ цифровизации. Раскрываются основные парадигмы информационного общества. Определение места...                        
Цели устойчивого развития Российской Федерации;Высшая школа государственного аудита (факультет);Online-курс;Старова Е. В. ;Межфакультетский курс «Цели устойчивого развития Российской Федерации» (“Sustainable development goals of Russia”) предназначен для студентов младших курсов, освоивших в рамках основного (общего) образования обществознание и введение в социальную и экономическую географию.   Цель курса состоит в том, чтобы ознакомить студентов с кризисами и проблемами, порождаемыми взаимодействием социума и природы. В рамках курса предлагается детально проанализировать результат современного научного консенсуса по ключевым направлениям выхода из кризисных состояний путем поиска и поддержания баланса социальных, экономических и экологических аспектов человеческого существования....                        
Антология отечественной анимации;Высшая школа телевидения (факультет);Online-курс;Кривуля Н. Г. ;  Цель дисциплины «Антология отечественной анимации» дать представление о зарождении, становлении и развитии отечественной анимации, её основных тенденциях, школах и режиссерах.  Дисциплина «Антология отечественной анимации» погружает не только в историю отечественной культуры и искусства конца XIX – начала XXI века,но и дает возможность осознать специфику элементов, составляющих профессиональный инструментарий режиссеров и художников анимации (драматургия, композиция, монтаж,движение камеры и т.д.).  В процессе освоения дисциплины произойдет знакомство с творчеством советских и российских режиссеров, с разными технологиями создания анимационного фильма.  Дисциплина «Антология отечественной анимации» ориентирована на повышение гуманитарной составляющей при подготовке специалистов в области...                        
Цифровая демография;Высшая школа современных социальных наук (факультет);Online-курс;Ионцев В. А. (зав.кафедрой)Зуева А. С. ;Сегодня в условиях распространения сети Интернет формируется новое направление в науке демографии – цифровая демография. Цифровая демография изучает демографические процессы путем анализа цифровых следов в сети Интернет.  Курс знакомит студентов МГУ имени М.В. Ломоносова с основами демографии и новейшими направлениями ее развития как науки в условиях развития информационного общества. Содержание курса составлено с учетом последних мировых научных достижений (2015-2019 гг.) и национальных законодательных изменений (2019-2020 гг.) в условиях подготовки к Всероссийской переписи населения, принятия мер по профилактике коронавирусной инфекции, а также цифровизации общества.  Распространение информационных технологий и расширение доступа к сети Интернет способствовали получению и накоплению бесп...                        
Политические сюжеты в западной художественной литературе второй половины  ХХ - ХХI веков;Факультет политологии;Online-курс;Кузнецов И. И. (профессор)Телин К. О. (научный сотрудник) ;Политические процессы находят живое отражение в творчестве современных писателей стран Запада, и это зачастую становится основой для формирования политического сознания читающей публики, влияет на интеллектуальный и духовный климат в обществе, заставляет рефлектировать над важными вопросами самоидентификации. Особенностью современной западной литературы в данном ключе можно назвать выделение «топовых» книг, бестселлеров и авторов, которые занимают важное место в общественных процессах, задают тональность и направленность оценок политических событий и явлений. Эти произведения массово тиражируются, переводятся на иностранные языки, экранизируются в кино, используются в качестве основы для театральных постановок. Изучение наиболее значимых и интересных, с позиции формирования навыков совреме...                        
Национальная безопасность России;Факультет политологии;Online-курс;Кочетков А. П. (профессор) ;Обеспечение национальной безопасности является важнейшим направлением деятельности современного российского государства. От уровня теоретического и методологического сопровождения этой деятельности зависит не только стабильность и конкурентоспособность Российской Федерации, благополучие ее граждан, но и перспективы долгосрочного развития нашей страны в качестве полноправного, суверенного субъекта международного права и великой державы. Сложность сегодняшней ситуации заключается не только в том, что после распада СССР серьезно снизился уровень национальной безопасности, но и в необходимости выстраивать качественно новую систему безопасности, соответствующую характеру вызовов и угроз ХХI века.   В рамках данного межфакультетского учебного курса рассматриваются альтернативные подходы к модерн...                        
Основы теории международных отношений;Факультет политологии;Online-курс;Цыганков П. А. ;"Основной целью курса является рас­крытие ключевых понятий дисциплины ""Международные отношения"" (МО), истории ее формирования, конкурирующих в ее рамках теорий, методологических подходов и методов. Студенты ознакомятся с исследовательскими традициями, а также с современной трактовкой важнейших концептов и теоретических проблем международных отношений.   Задачи курса состоят в том, чтобы: а) способствовать обобщению и систематизации знаний студентов, полученных в результате освоения курсов гуманитарного, социального и экономического цикла; б) создать теоретическую базу для освоения кур­сов, по­свя­щен­ных более углубленному изучению конкретных проблем и вопросов МО и МП.  В результате изучения курса студенты будут знать содержания основных понятий дисциплины, исходными среди которых являются...                        "
Управление топливно-энергетическим комплексом России в современном мире;Факультет государственного управления;Online-курс;Митина Н. Н. (профессор) ;Курс «Управление топливно-энергетическим комплексом России в современном мире» рассматривает актуальные проблемы использования комплекса энергетических ресурсов в национальной экономике России и в мировой экономике. Дается сравнительный анализ недостатков системы государственного управления в области энергосбережения и энергоэффективности в России и в мире, рассматриваются пути повышения эффективности в энергетике. Обсуждается современная ситуация с добычей и переработкой российской нефти, газа, угля, атомной энергетики и альтернативных источников энергии, анализируются основные проблемы в топливно-энергетическом комплексе. Рассматриваются перспективы развития атомной энергетики и альтернативных источников энергии. Анализируются пути совершенствования государственного управления в области ...                        
Управление техногенным и природным риском;Факультет государственного управления;Online-курс;Малашенков Б. М. ;Согласно оценкам ООН за последние десятилетия мировая экономика потеряла приблизительно 200 миллиардов долларов из-за стихийных бедствий. Для Российской Федерации уровень угрозы возникновения чрезвычайных ситуаций природного характера также довольно высок, как и тенденция роста количества чрезвычайных ситуаций (далее ЧС). Это заставляет постоянно искать новые подходы к решению проблемы защиты населения и территорий от чрезвычайных ситуаций, а также постоянно совершенствовать методы прогноза и предупреждения возможных угроз и рисков. Развитие систем оценки, прогноза (предупреждения) и изучение возможности управления опасными природными явлениями, поиск новых способов уменьшения всех видов таких опасностей, ликвидация последствий чрезвычайный ситуаций природного характера по праву считается ...                        
Управление городским хозяйством;Факультет государственного управления;Online-курс;Якубов Х. Г. (профессор) ;"Курс «Управление городским хозяйством» посвящен изучению теоретических основ управления городским хозяйством современного города и специфики управления им. Курс содержит основные сведения о стадиях формирования и развития современных городов и агломераций, о сфере городского хозяйства и составляющих ее отраслях и специфики организационного взаимодействия между ними. Курс раскрывает понятия: «город»; «городская агломерация»; «городское хозяйство»; «отрасли городского хозяйства»; «управленческая деятельность в городском хозяйстве»....                        "
Коммуникация в области здоровья и здравоохранения: традиционные подходы и новая реальность (курс на английском языке);Факультет государственного управления;Online-курс;Яковлева И. В. (старший преподаватель) ;  The COVID-19 pandemic has already demonstrated that health communication has turned into a top priority of our modern society. It is a sure thing that being multidisciplinary in nature it turned into an essential knowledge for everyone in the daily lives. It assists in understanding the decision taking, modern media and health representations, and what is more important, it enables the profound analysis of the current situation.   The course covers the fundamentals of communication with the most influential theories and their modifications. The issues of time, space and contexts are mentioned in respect of application to health communication. The modern concept of digital divide and digital inequalities provide the key to understanding the patterns of behavior. The course is focused on t...                        
Мегаполисы мира: культурно-исторические особенности и проблемы управления;Факультет государственного управления;Online-курс;Купцова И. В. ;Целью курса является анализ современных мегаполисов, выявление общего и особенного вих развитии. Курс включает четыре блока. Первый посвящен теоретическим проблемам: понятиям мегаполиса и агломерации, их характерным чертам, классификации, теориям урбанистики.   Второй блок представляет путешествие во времени и пространстве по странам и континентам, в ходе которого будут рассмотрены мегаполисы США (Нью-Йорк, Сан-Франциско, Лос-Анджелес, Сиэтл, Чикаго), Латинской Америки (Сан-Пауло, Мехико, Рио-де-Жанейро, Буэнос-Айрес), Африки (Каир, Лагос, Йоханнесбург, Алжир), Азии (Бомбей, Дели, Калькутта, Манила, Джакарта, Пекин, Токио, Сеул), Европы (Лондон, Париж) и России (Москва, Санкт-Петербург). При анализе мегаполисов будут выявляться особенности складывания городов, их пространственная структура...                        
Международный бизнес;Высшая школа бизнеса (факультет);Online-курс;Шапошников С. В. (доцент) ;Курс по предмету «Международный бизнес»направлен на понимание основ международного бизнеса, базовых закономерностейего развития, основных стратегий, роли международных интеграционных объединенийна региональных пространствах, международных организаций в регулировании иразвитии международного бизнеса. Дисциплина предполагает знакомство с понятиеммеждународного бизнеса, международной компании, мотивами ее деятельности иособенностями их менеджмента. В рамках данного учебного курса рассматриваютсяосновные стратегии международного бизнеса, их реализация, контроль и оценкадеятельности, а также детально освещаются такие важные аспекты международногобизнеса как, аутсорсинг, маркетинг, логистика, конкурентоспособность,особенности культурной среды в разрезе отдельных стран или рег...                        
Личный бренд: теория и практика;Факультет мировой политики;Online-курс;Дубовская И. Н. ;Личный брендинг – область теоретических и практических знаний на стыке традиционного брендинга, маркетинга, PR, социологии, психологии и искусства коммуникации.     Программа курса состоит из теоретической и практической частей. Теоретическая часть дает алгоритм разработки личного бренда « с нуля», помогает понять с чего начать, как найти ключевую идею, как ее развить и трансформировать в сценарий,  какие инструменты служат продвижению бренда. В рамках курса студенты познакомятся с подходами построения личных брендов в сферах бизнеса, политики,  культуры, искусства и спорта, проанализируют успешные международные и российские кейсы.  Практическая часть включает самостоятельную разработку проекта личного бренда и защиту в формате питча. Большое внимание уделяется развитию критического мышлен...                        
Европейская интеграция и территориальные конфликты;Факультет мировой политики;Online-курс;;Межфакультетский курс «Европейская интеграция и территориальные конфликты» нацелен на изучение вопроса, как процесс европейской интеграции влияет на развитие и динамику территориальных конфликтов, на стабилизацию/дестабилизацию государств. Студенты познакомятся с методологическими проблемами исследования конфликтов, проблематикой региональной политики, территориально-политического устройства государств, европейской интеграции и европейской безопасности. Также будут подробно изучены отдельные случаи противоречий между европейскими государствами или регионами, имеющие конфликтный потенциал.  В рамках курса предусмотрены три занятия с симулирующими формами обучения: игра-симуляция, модель конференции и ситуационный анализ. Также студенты имеют возможность подготовить исследование по выбранном...                        
Личные навыки, повышающие профессиональную эффективность;Факультет мировой политики;Online-курс;Левченко Т. Г. ;"Межфакультетский курс (МФК) «Личные навыки, повышающие профессиональную эффективность» ставит своей целью приобретение студентами навыков в области эмоционального и социального интеллекта, эффективного и критического мышления, публичных выступлений, проведения переговоров, разрешения конфликтов и споров, формирования личного бренда. Личные навыки являются «надпрофессиональными» и помогут в построении карьеры в любой отрасли.  В МФК решаются следующие основные задачи:  формирование у студентов представления об эмоциональном и социальном интеллекте, эффективном и критическом мышлении, способах разрешения конфликтов, проведении переговоров, основах медиации, публичных выступлений, формировании личного бренда;освоение практики проведения переговоров, разрешения конфликтов, публичных выступлени...                        "
Политическая демография и глобальные демографические вызовы;Факультет глобальных процессов;Online-курс;Алешковский И. А. (доцент)Узкая Ю. А. ;Межфакультетский учебный курс «Политическая демография и глобальные демографические вызовы» ориентирован на студентов Московского государственного университета имени М.В.Ломоносова вне зависимости от их направления подготовки и курса.  Целью изучения курса «Демография и глобальные демографические процессы» является формирование у студентов представлений о закономерностях воспроизводства населения и особенностях развития демографических процессов в условиях глобализации....                        
Парадоксы глобального мира;Факультет глобальных процессов;Online-курс;Андреев А. И. (доцент) ;Привычными стали рассуждения о глобальном, взаимозависимом мире. Взаимосвязанными оказываются самые разные, не редко противоположные силы и тенденции. Лейтмотивом данного курса является осмысление внутренней драматургии глобального мира и скрытых в нем альтернатив.    Многие ученые и политики полагают, что Восток и Запад оказались внутренне неподготовленными к ситуации глобального мира. Все надежды на реставрацию прежней ситуации оказываются заведомо утопическими. Как несостоятельным оказывается экономико-центристское толкование нового мирового порядка и единого пространства. По многим критериям цивилизационные миры Запада и Востока сегодня, за редкими исключениями, не сближаются, а расходятся в стороны. К чему приведет глобализация?  В курсе будут рассмотрены основные подходы к теоретичес...                        
